SET,mean.mean.slope,sd.mean.slope,unique.armpositions,unique.pins,n.readings,first.Date,last.Date,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,Site,Location,Treatment,Marsh.Type,Feature,VRP.elev
1,7.411828665631042e-5,4.911548599755793e-4,4,36,711,2004.77868852459,2018.7287671232878,7.411828665631042e-5,0.3018122905675642,0.7825079855835463,3,-7.074186980693992e-4,8.5565527138202e-4,One Sample t-test,two.sided,PI,upper,Sill,Fringing,Behind,0.31
2,0.002339249363757831,2.7244718557572524e-4,4,36,716,2004.77868852459,2018.7287671232878,0.002339249363757831,17.172130876042022,4.302505706408605e-4,3,0.0019057250941976252,0.002772773633318037,One Sample t-test,two.sided,PI,lower,Sill,Fringing,Behind,-0.13
3,0.0018885084553789397,3.2759863719953583e-4,4,36,753,2004.77868852459,2018.7287671232878,0.0018885084553789397,11.529403611216338,0.0014009149691769287,3,0.0013672259190931192,0.00240979099166476,One Sample t-test,two.sided,PI,upper,Natural,Fringing,Oyster,0.32
4,-0.002315765826094808,6.475970157575164e-4,4,36,700,2004.7814207650274,2018.7287671232878,-0.002315765826094808,-7.1518730622499165,0.00562936142770324,3,-0.0033462371911499394,-0.0012852944610396765,One Sample t-test,two.sided,PI,lower,Natural,Fringing,Oyster,-0.06
5,0.001031549689361269,4.7853132096703575e-4,4,36,468,2004.7814207650274,2018.7945205479452,0.001031549689361269,4.311315243803356,0.022978895684263714,3,2.700995721742313e-4,0.0017929998065483062,One Sample t-test,two.sided,NCMM,upper,Natural,Fringing,None,0.43
6,-0.005528312414766153,0.0016710789428116435,4,36,447,2004.7841530054645,2018.7945205479452,-0.005528312414766153,-6.616458711955992,0.007030483194944611,3,-0.008187371918460314,-0.002869252911071994,One Sample t-test,two.sided,NCMM,lower,Natural,Fringing,None,-0.01
7,0.002384483081008964,6.874031030085923e-4,4,36,465,2004.7814207650274,2018.7945205479452,0.002384483081008964,6.937655854542045,0.006141390906681926,3,0.0012906713483038389,0.0034782948137140894,One Sample t-test,two.sided,NCMM,upper,Sill,Fringing,Behind,0.52
8,0.001333649110600439,0.0024463463638616572,4,36,455,2004.7814207650274,2018.7945205479452,0.001333649110600439,1.0903191226733893,0.3553151349257277,3,-0.002559033862957443,0.005226332084158321,One Sample t-test,two.sided,NCMM,lower,Sill,Fringing,Behind,0.06
9,0.008023911703895844,0.0011563169427769306,4,36,536,2004.8060109289618,2018.7917808219179,0.008023911703895844,13.878395113066793,8.098317003378668e-4,3,0.006183953412757146,0.009863869995034542,One Sample t-test,two.sided,PKS,upper,Sill,Fringing,Behind,0.27
10,0.009176938073095324,0.0028323079064347225,4,36,575,2004.8060109289618,2018.7917808219179,0.009176938073095324,6.480183918031109,0.007458919259463537,3,0.004670104156965816,0.013683771989224833,One Sample t-test,two.sided,PKS,lower,Sill,Fringing,Behind,0.06
11,-0.0010064936660466027,5.19729912004669e-4,4,36,356,2006.682191780822,2019.7753424657535,-0.0010064936660466027,-3.873141194296167,0.030463068688048506,3,-0.0018334999351489454,-1.7948739694426005e-4,One Sample t-test,two.sided,CL,upper,Natural,Fringing,Oyster,0.26
12,-2.7027517600093827e-4,9.637384395102706e-4,5,45,665,2004.8060109289618,2018.7917808219179,-2.7027517600093827e-4,-0.6270930383101909,0.5646133208788069,4,-0.0014669145000259175,9.263641480240409e-4,One Sample t-test,two.sided,PKS,upper,Natural,Fringing,None,0.32
13,-0.00518514236171468,0.0013711112724671313,4,36,478,2004.8524590163934,2018.7917808219179,-0.00518514236171468,-7.563415844995148,0.004793356125406403,3,-0.007366886363312612,-0.0030033983601167476,One Sample t-test,two.sided,PKS,lower,Natural,Fringing,None,-0.14
14,-0.02009689059085105,0.0013511576547863972,4,36,558,2004.8524590163934,2018.7917808219179,-0.02009689059085105,-29.74766196921431,8.34350009837316e-5,3,-0.022246883934016436,-0.017946897247685667,One Sample t-test,two.sided,PKS,lower,Natural,Non-Fringing,None,0.04
16,-1.5184952927807614e-4,2.702393274306416e-4,4,36,540,2004.8524590163934,2018.7917808219179,-1.5184952927807614e-4,-1.1238151805795116,0.34290365314957716,3,-5.818606038400758e-4,2.7816154528392367e-4,One Sample t-test,two.sided,PKS,upper,Natural,Non-Fringing,None,0.26
17,0.006067428756901161,0.0017008931841809394,4,36,430,2005.4109589041095,2018.805479452055,0.006067428756901161,7.134403045800805,0.005668962502819535,3,0.0033609281420617257,0.008773929371740596,One Sample t-test,two.sided,HI,lower,Sill,Fringing,Behind,-0.01
18,7.464590291497932e-4,0.0010246308790468146,4,36,429,2005.4109589041095,2018.805479452055,7.464590291497932e-4,1.4570301255105704,0.24115518785176973,3,-8.839573485012732e-4,0.00237687540680086,One Sample t-test,two.sided,HI,upper,Sill,Fringing,Behind,0.17
19,-0.018627601538202535,0.001107204199138045,4,36,432,2005.4109589041095,2018.805479452055,-0.018627601538202535,-33.64799655330799,5.770506251722077e-5,3,-0.02038941049457327,-0.016865792581831796,One Sample t-test,two.sided,HI,upper,Eroded,Short-Fringing,Eroded,0.28
20,-0.0036415110014741676,4.807830106994478e-4,4,36,431,2005.4136986301369,2018.805479452055,-0.0036415110014741676,-15.14825158308511,6.24613679531173e-4,3,-0.0044065440594959855,-0.00287647794345235,One Sample t-test,two.sided,HI,lower,Natural,Fringing,None,-0.12
21,-0.0038070903004359903,5.882007745156993e-4,4,36,427,2005.4109589041095,2018.805479452055,-0.0038070903004359903,-12.94486666927834,9.952349795007015e-4,3,-0.004743048991247241,-0.002871131609624739,One Sample t-test,two.sided,HI,upper,Natural,Fringing,None,0.27
22,0.0011649484730924344,0.0016976969744894482,4,36,431,2005.5698630136985,2015.8027397260273,0.0011649484730924344,1.3723868164903477,0.2635499600585532,3,-0.0015364662588852023,0.003866363205070071,One Sample t-test,two.sided,MM,lower,Natural,Non-Fringing,Oyster,-0.13
23,0.006176768826770597,0.0015300657968667938,4,36,385,2005.5698630136985,2015.8027397260273,0.006176768826770597,8.073860404459902,0.003969613604537313,3,0.0037420927057307467,0.008611444947810448,One Sample t-test,two.sided,MM,upper,Natural,Non-Fringing,Oyster,0.1
24,0.003740199664479217,0.001629598490684679,4,36,345,2005.868493150685,2015.8027397260273,0.003740199664479217,4.5903327547974895,0.01942242205516983,3,0.0011471448165915352,0.006333254512366898,One Sample t-test,two.sided,MM,upper,Natural,Non-Fringing,None,0.07
25,-0.008446450095281572,0.002547407072113001,4,36,342,2005.868493150685,2015.8027397260273,-0.008446450095281572,-6.63140978742395,0.006985468368488827,3,-0.012499943207631377,-0.004392956982931767,One Sample t-test,two.sided,MM,lower,Natural,Non-Fringing,None,-0.25
26,-0.004018650182285775,2.570936758157644e-4,4,36,359,2006.682191780822,2018.3671232876711,-0.004018650182285775,-31.262147305136942,7.191457227826383e-5,3,-0.004427743591641618,-0.0036095567729299317,One Sample t-test,two.sided,CL,lower,Natural,Fringing,Oyster,-0.17
27,-0.019239310554245496,0.004245806767362548,4,36,385,2006.682191780822,2019.7753424657535,-0.019239310554245496,-9.062734885693708,0.0028377718428762647,3,-0.02599533658411625,-0.012483284524374742,One Sample t-test,two.sided,CL,upper,Natural,Fringing,None,0.48
28,-0.006582067278574819,0.002466969557537894,4,36,322,2006.7589041095891,2018.3671232876711,-0.006582067278574819,-5.336156061158622,0.01286566648289081,3,-0.010507566355391747,-0.002656568201757892,One Sample t-test,two.sided,CL,lower,Natural,Fringing,None,-0.3
29,-1.8431541340007868e-4,0.0011753525638205536,4,36,211,2007.441095890411,2015.1616438356164,-1.8431541340007868e-4,-0.3136342559222408,0.7743413402134536,3,-0.0020545636254683058,0.0016859327986681483,One Sample t-test,two.sided,NPRT,lower,Natural,Fringing,None,-0.43
30,0.003308358964809058,8.458257759170335e-4,4,36,216,2007.441095890411,2015.1616438356164,0.003308358964809058,7.822790600634457,0.004349202123453597,3,0.0019624614070686136,0.004654256522549503,One Sample t-test,two.sided,NRRT,upper,Natural,Fringing,None,0.24
